-....-..--..--..-....- -izmusa
-.-..-..-.- keretet
-.-..-..-..-..-.- keretinek
-.-..-..-..-..-.- kereték
-.-..-..-..-..-..-.- keretének
-.-..-.--..--.-..-.- kergettetik
-.-..-.-...-.-..-.- kernernek
-.-..-.-.-..-.- kernnek
-.-..-.- kert
-.-..-...-..-.- kerék
-.-..-...-..-.-..-...-..-.- kerékfék
-.-..-...-.-...-..-.- kerítenék
-.-..-...-.-...-..-.- kerítenék
-.-..-...-.-.-...-..-.- kerítetlenek
-.-..-...-..-.- kerítik
-.-....--...--....-.- keszegiek
-.-....--....-.- keszik
-.-.-----.-.- kettõk
-.-....-..-..-....-.- keveredik
-.-....-....-....-....-.- kevesbedik
-.-.--..-...-..--.-.- kezdetûek
-.-.--....--.-.- kezûek
-.-..-.- kft
-.-...--...--...-.- kiadatva
-.-..-.....-..-.-..-.....-..-.- kibékítsék
-.-..-.-.....-.-..-.- kicsalta
-.-..-..---..-..-.- kidõltet
-.-....----....-.- kiejtsek
-.-.........-.- kieseik
-.-.......-.- kiesek
-.-.......-.- kiesek
-.-...........-.- kiesesek
-.-........-.- kiesik
-.-........-.- kiesik
-.-..........-.- kiessek
-.-...-.-...-.- kietlent
-.-....-......-....-.- kifeslik
-.-....-......-....-.- kifeslik
-.-....-..-....-.- kiflik
-.-........-.- kihint
-.-....-.- kiint
-.-.....-.- kiirt
-.-....--..--....-.- kiizzik
-.-..-.- kik
-.-..-.-.-..-.- kikenek
-.-..-.----.-..-.- kikötik
-.-..-.----.----.-..-.- kikötõnek
-.-..-.----.----.-..-.- kikötõnek
-.-...-...-.-.-...-...-.- kilencért
-.-...-.......-...-.- kileslek
-.-...-....-....-...-.- kilitiért
-.-...-....-....-...-.- kilitiért
-.-...-..-----..-..-----..-...-.- kilogrammért
-.-...-....-..-..-....-...-.- kilétéért
-.-...-..---..-...-.- kilóért
-.-..--......--..-.- kimehetnek
-.-..--.-.---.-.--..-.- kimenõknek
-.-..--..-.- kimert
-.-..--..-.- kimert
-.-..---..-.- kimnek
-.-..--..-...-..--..-.- kiméretnek
-.-..-..-.- kinek
-.-..-.....-.-.....-..-.- kinevethetik
-.-..-.- kint
-.-..-.-..-.- kintik
-.-..-.-.--.-.-..-.- kinyalta
-.-..-...-..--..-...-..-.- kinéznék
-.-..-.---..---.-..-.- kinõjenek
-.-..-.---.-..-.- kinõnek
-.-...-.----.-...-.- kirontva
-.-.....-...-.....-.- kisdedeik
-.-......-.- kisek
-.-.......-.- kisik
-.-.....-.-..-.-.....-.- kiskertesek
-.-.........-.- kissek
-.-.....--...-.-...--.....-.- kiszaladva
-.-........-.- kisírt
-.-........-.- kisírt
-.-.....-----.....-.- kisózva
-.-..-.--.-.--.-..-.- kitegyenek
-.-..-..............-..-.- kitehessék
-.-..-......-..-.- kitehetik
-.-..-.-.-..-.- kitekert
-.-..-.-.-..-.- kitekert
-.-..-.-.-..-.- kitekint
-.-..-.-.-..-.-.-..-.- kitekintenek
-.-..-..-....-..-..-.- kitelelnek
-.-..-..-..-..-.- kitelnek
-.-..-..-...-..-..-.- kiterelnek
-.-..-..-.......-....-.......-..-..-.- kiterhelésének
-.-..-..-....-..-..-.- kiterveltet
-.-..-..-...-.-...-..-..-.- kiterítenének
-.-..-.-.-..-.- kitetetik
-.-..-..-.- kitint
-.-..-..-...-.-...-..-..-.- kitérnének
-.-..-..-..-..-..-..-.- kitételnek
-.-..-..-..-..-..-..-.- kitételnek
-.-..----..-.- kitört
-.-..----..-.- kitört
-.-..-..---..---..-..-.- kitûnjék
-.-..-..----..-..-.- kitûznek
-.-.....-.-....-.-.....-.- kivasalva
-.-.....-.- kivet
-.-.....-..-..-.....-.- kiviteleik
-.-.....-.--.-.....-.- kivásik
-.-....-..-.-..-....-.- kiékelik
-.-....-...-....-.- kiélik
-.-....-...--...-....-.- kiépítsek
-.-.....-.- kiírt
-.-....----....-.- kiûzik
-.-....----....-.- kiûzik
-.-.-.....-.....-.-.- klienseket
-.----....----.- kohók
-.----.-..---..-.----.- kolofont
-.------.- koma
-.------.--..--.------.- kompaktok
-.------.--.------.- komátok
-.-----.----.-----.- konokok
-.-----.- kont
-.-----.-----.- kontok
-.-----.-----.- kontók
-.----.--.----.- kopok
-.----.--..--..--.----.- koppanok
-.----.--..--..--.----.- koppanók
-.----.--.----.- kopók
-.----.--.----.- kopók
-.----.-.-.-.----.- korcok
-.----.-.----.- korok
-.----...----.- kosok
-.---------.- kotont
-.------.- kotta
-.-.-..-..-..-..-.-.- kreténeket
-.-..--.-.--..-.- kunyik
-.-..--..-.- kutik
-.-..--..-.- kutik
-.-..-...-..-.- kuvik
-.-.--.--.-.- káka
-.-.--.-.-.--.-.- kárment
-.-..-...---...-..-.- kéjeinek
-.-..-...----...-..-.- kéjnék
-.-..-..-.- kék
-.-..-..-.- kék
-.-..-..-.--.-..-..-.- kékként
-.-..-..-.-..-..-.- kékítik
-.-..-...-..-.- kéltet
-.-..-..--..-..-.- kémék
-.-..-..-..-.- kének
-.-..-..-..--..-..-..-.- kénezték
-.-..-..-..---..-..-..-.- kénjének
-.-..-..-.-.-..-..-.- kénként
-.-..-..-.- ként
-.-..-..-.-.--.-.-..-..-.- kényeként
-.-..-...--...-...--...-..-.- képelemeinek
-.-..-...--..--..--...-..-.- képezzenek
-.-..-...--...-..-.- képinek
-.-..-...--.--...-..-.- képzenek
-.-..-...-.-...-..-.- kérdenek
-.-..-...-..-.- kérek
-.-..-...-...-..-.- kérinek
-.-..-...-.-...-..-.- kérnék
-.-..-...-.-...-..-.- kérnék
-.-..-........-..-.- késeinek
-.-..-........-..-.- késeinek
-.-..-..........-..-.- késhetik
-.-..-.....-..-.- késnek
-.-..-.....-..-.- késnek
-.-..-.........-..-.- késsenek
-.-..-..........-..-.- késsék
-.-..-..........-..-.- késsék
-.-..-.......-.......-..-.- késésék
-.-..-..--..-..-.- kéznek
-.-..-..-..-.- kínaik
-.-..-.- kínt
-.------.- kóma
-.----.-.----.- kórok
-.----.-.----.- kórok
-.----.-.----.- kórók
-.-----.- kóta
-.----..-..----.- költõt
-.----.- köt
-.----.-..-.......-..-.----.- kötésfajta
-.----.----.- kötõt
-.----.--...--.----.- központ
-.-..--.-.--..-.- kürtnek
-.-..--.-.----.-.--..-.- kürtöknek
-.-..--.-.----.-.--..-.- kürtõknek
-.----....----.- kõsók
-.----.- kõt
.-...--.-.-.--...-. lackner
.-...-....-...-. lahner
.-...--.--...-. lakner
.-...--.--...-. langer
.-...-....-...-. lederer
.-...-....-...-. ledér
.-....-.....-....-. leedsben
.-...................-. leeshessen
.-...........-. leessen
.-.......-. leeste
.-..........-. leesve
.-.....-..-.....-. lefedve
.-.....-..--.--..-.....-. lefetyelve
.-.....-.---.-.....-. lefödve
.-...--...-. legin
.-...--.-.--...-. legyein
.-...............-. lehessen
.-........-. lehr
.-.........-. leisen
.-....----....-. lejben
.-....----....-. lejtsen
.-....------....-. lejöve
.-...-.----.-...-. lekötve
.-....-...-...-....-. leleteiben
.-....-..-.-.-..-....-. lelkedben
.-....-..-.-..-....-. lelkiben
.-...--.--...-. lemezen
.-...-. len
.-...-...-. lenin
.-...-...-. lenin
.-....--..--..--....-. leppegve
.-....--....-. lepve
.-....-. ler
.-....-.-....-. lerben
.-.......-. lesen
.-..................-. leshessen
.-................-. lesiessen
.-..........-. lessen
.-...........-. lessin
.-......-. leste
.-.........-. lesve
.-.........-. lesír
.-...-.--.-...-. letemetve
.-...-..-...-. letér
.-......-. leve
.-......-..-..-..-......-. leveretésen
.-......-..-......-. levésen
.-.....-...-.....-. leélve
.-.....-.....-. leéve
.-......-. leír
.-....-...-....-. libben
.-....-....-....-. lidiben
.-....--..--....-. ligetben
.-.....-.....-. lilien
.-.....-.....-. lilien
.-....--..--....-. limitben
.-....-.-....-. linder
.-....-..-..---..-..-....-. literjében
.-....-..-...-..-....-. literében
.-..-----..-. lotter
.-....--....-. ludin
.-...--.--...-. láner
.-....-..-....-. lében
.-....-..-.-..-....-. létedben
